,category,deadline,funded,goal,phase,progress,project,sponsor,sponsor_page,status,supports
853,科技,2016-08-28 00:00:00,8117234,500000,众筹中,1623,硕基360°高清智能记录仪,北京硕基,https://z.jd.com/funderCenter.action?flag=2&id=64468,已筹到,5510
854,科技,2016-08-27 00:00:00,6772,100000,众筹中,7,随车WiFi，随时共享网络,上海聚橙,https://z.jd.com/funderCenter.action?flag=2&id=64541,已筹到,229
855,其他,2016-09-06 00:00:00,422968,100000,众筹中,423,哆啦A梦儿童声波智能牙刷,oracleen,https://z.jd.com/funderCenter.action?flag=2&id=64588,已筹到,1936
856,其他,2016-08-28 00:00:00,75925,100000,众筹中,76,普罗旺斯-全新香薰加湿器,mirific,https://z.jd.com/funderCenter.action?flag=2&id=61819,已筹到,201
857,设计,2016-08-28 00:00:00,116071,100000,众筹中,116,星舰儿童成长基因检测,星舰基因,https://z.jd.com/funderCenter.action?flag=2&id=62074,已筹到,260
858,家电,2016-09-11 00:00:00,201454,200000,众筹中,101,e博—智能指纹密码锁,e博科技,https://z.jd.com/funderCenter.action?flag=2&id=64530,已筹到,2646
859,科技,2016-08-26 00:00:00,62602,350000,众筹中,18,续航通讯自拍苹果魔盒,jd139274zib,https://z.jd.com/funderCenter.action?flag=2&id=64532,已筹到,169
860,科技,2015-07-27 00:00:00,1047089,1000000,项目成功,105,办公神器 旺财智能云考勤机,旺财考勤,https://z.jd.com/funderCenter.action?flag=2&id=15297,已筹到,800
861,科技,2015-07-18 00:00:00,74741,50000,项目成功,149,领养熊孩子！云智能多多熊,多福莱智能机器,https://z.jd.com/funderCenter.action?flag=2&id=13437,已筹到,576
862,科技,2015-07-28 00:00:00,23148,10000,项目成功,231,力米智能车电宝,深圳力米科技,https://z.jd.com/funderCenter.action?flag=2&id=11418,已筹到,590
863,科技,2015-08-02 00:00:00,34501,10000,项目成功,345,黑脸智能书桌,hehedesk黑脸,https://z.jd.com/funderCenter.action?flag=2&id=15384,已筹到,1411
864,科技,2015-07-18 00:00:00,825972,10000,项目成功,8260,ePro蓝牙电子烟智能戒烟,天美意科技,https://z.jd.com/funderCenter.action?flag=2&id=15377,已筹到,6183
865,科技,2015-07-18 00:00:00,1019634,100000,项目成功,1020,ICharming智能戒指,strawcom,https://z.jd.com/funderCenter.action?flag=2&id=14999,已筹到,3221
866,科技,2015-07-23 00:00:00,512563,500000,项目成功,103,阿斯盾　智能云直播摄像机,阿斯盾云直播摄像机,https://z.jd.com/funderCenter.action?flag=2&id=14794,已筹到,1470
867,科技,2015-07-18 00:00:00,94571,10000,项目成功,946,联想茄子SD卡,茄子小弟,https://z.jd.com/funderCenter.action?flag=2&id=15309,已筹到,2497
868,科技,2015-07-28 00:00:00,1006803,1000000,项目成功,101,掌趣智能超薄无线游戏手柄,HandJoy88,https://z.jd.com/funderCenter.action?flag=2&id=15057,已筹到,4263
869,科技,2015-07-18 00:00:00,120327,120000,项目成功,100,VIR幻影虚拟现实3D眼镜,VIR幻影,https://z.jd.com/funderCenter.action?flag=2&id=15167,已筹到,3244
870,科技,2015-07-18 00:00:00,117004,10000,项目成功,1170,探索果-六个遥控器增强版,Tasogo,https://z.jd.com/funderCenter.action?flag=2&id=15336,已筹到,6068
871,科技,2015-08-05 00:00:00,134091,50000,项目成功,268,劲嘉探索者智能健康烟具,劲嘉科技,https://z.jd.com/funderCenter.action?flag=2&id=13448,已筹到,846
872,科技,2015-07-07 00:00:00,5019761,5000000,项目成功,100,华为荣耀7 年度旗舰新品,Vivian-0803,https://z.jd.com/funderCenter.action?flag=2&id=15327,已筹到,33380
873,科技,2015-07-17 00:00:00,5106838,1000000,项目成功,511,炫龙高配双擎DIY游戏本,炫龙游戏本,https://z.jd.com/funderCenter.action?flag=2&id=15168,已筹到,12610
874,科技,2015-07-15 00:00:00,258046,100000,项目成功,258,道盟智能饮水机 2秒即热,道盟科技,https://z.jd.com/funderCenter.action?flag=2&id=11071,已筹到,990
875,科技,2015-07-06 00:00:00,24184,10000,项目成功,242,OKWAP千里智能手环,OKWAP千里,https://z.jd.com/funderCenter.action?flag=2&id=14849,已筹到,1560
876,科技,2015-08-15 00:00:00,57601,50000,项目成功,115,威立讯 V盒智能桌面充电器,威立讯,https://z.jd.com/funderCenter.action?flag=2&id=15143,已筹到,1401
877,科技,2015-07-30 00:00:00,1163451,30000,项目成功,3878,橙意鼾症监测仪2.0,橙意家人科技,https://z.jd.com/funderCenter.action?flag=2&id=15054,已筹到,3295
878,科技,2015-07-17 00:00:00,123153,10000,项目成功,1232,无胸带心率表,深圳益恒科技,https://z.jd.com/funderCenter.action?flag=2&id=13522,已筹到,1089
879,科技,2015-07-15 00:00:00,88145,10000,项目成功,881,小i智能扫地机器人,东方金局,https://z.jd.com/funderCenter.action?flag=2&id=14671,已筹到,1915
880,科技,2015-07-21 00:00:00,1086458,1000000,项目成功,109,极夜明星版顶级迷你主机电脑,极夜高端迷你电脑,https://z.jd.com/funderCenter.action?flag=2&id=15166,已筹到,3047
881,科技,2015-07-17 00:00:00,1254896,1000000,项目成功,125,耳朵里的双动圈HiFi音响,ROMOSS,https://z.jd.com/funderCenter.action?flag=2&id=15306,已筹到,9132
882,科技,2015-08-05 00:00:00,25278,10000,项目成功,253,速威尔智能平衡车,速威尔平衡车,https://z.jd.com/funderCenter.action?flag=2&id=12370,已筹到,3516
883,科技,2016-06-17 00:00:00,102731,100000,项目成功,103,老乐微信智能血压计,老乐血压计,https://z.jd.com/funderCenter.action?flag=2&id=53857,已筹到,274
884,科技,2016-06-17 00:00:00,465457,300000,项目成功,155,云中致用智能手表,云中致用旗舰店,https://z.jd.com/funderCenter.action?flag=2&id=52662,已筹到,6829
885,科技,2016-06-02 00:00:00,776424,100000,项目成功,776,千幻魔镜 VR虚拟现实头盔,谦辰国度,https://z.jd.com/funderCenter.action?flag=2&id=52894,已筹到,4363
886,科技,2016-06-02 00:00:00,1324629,1000000,项目成功,132,小蛋智能空气净化器除醛版,小蛋科技iqegg,https://z.jd.com/funderCenter.action?flag=2&id=52608,已筹到,1227
887,科技,2016-06-02 00:00:00,100222,100000,项目成功,100,利泰智能踏步机,燃脂部落,https://z.jd.com/funderCenter.action?flag=2&id=52136,已筹到,673
888,家电,2016-06-04 00:00:00,237866,200000,项目成功,119,盒纸个人空气净化器,FriBox,https://z.jd.com/funderCenter.action?flag=2&id=52736,已筹到,835
889,科技,2016-05-31 00:00:00,479191,100000,项目成功,479,一款超强抗污的T恤,vx梵迪轩,https://z.jd.com/funderCenter.action?flag=2&id=50839,已筹到,6021
890,科技,2016-06-02 00:00:00,306996,300000,项目成功,102,喷雾补水仪移动电源,lilpartner_cn,https://z.jd.com/funderCenter.action?flag=2&id=53632,已筹到,239
891,科技,2016-06-02 00:00:00,118735,100000,项目成功,119,魔小灯-智能蓝牙灯,Midea_YB,https://z.jd.com/funderCenter.action?flag=2&id=52748,已筹到,869
892,科技,2016-06-22 00:00:00,1532393,1000000,项目成功,153,雷神小钢炮ST高性能游戏本,雷神科技,https://z.jd.com/funderCenter.action?flag=2&id=57161,已筹到,11910
893,科技,2016-06-29 00:00:00,509839,500000,项目成功,102,手机智能快充伴侣-鲁蛋智充,鲁蛋智能硬件,https://z.jd.com/funderCenter.action?flag=2&id=57158,已筹到,10474
894,科技,2016-06-26 00:00:00,141391,100000,项目成功,141,NS导航行车记录仪,纽硕汽车用品旗舰店,https://z.jd.com/funderCenter.action?flag=2&id=56366,已筹到,1499
895,科技,2016-06-29 00:00:00,298010,150000,项目成功,199,纽曼4G智能云后视镜,纽曼电子,https://z.jd.com/funderCenter.action?flag=2&id=56763,已筹到,1191
896,科技,2016-06-29 00:00:00,101138,100000,项目成功,101,阿波罗智能开关,阿波罗智能旗舰店,https://z.jd.com/funderCenter.action?flag=2&id=52786,已筹到,166
897,科技,2016-06-25 00:00:00,10013181,1000000,项目成功,1001,Biaze苹果智能手机U盘,北京福创,https://z.jd.com/funderCenter.action?flag=2&id=57159,已筹到,10965
898,其他,2016-07-14 00:00:00,1259167,100000,项目成功,1259,3D光能巴马坐垫,车本道理疗座垫,https://z.jd.com/funderCenter.action?flag=2&id=57390,已筹到,7506
899,其他,2016-06-29 00:00:00,10568891,100000,项目成功,10569,远大智能新风肺保-Ⅱ,华扬远大,https://z.jd.com/funderCenter.action?flag=2&id=57037,已筹到,2570
900,家电,2016-07-14 00:00:00,474946,100000,项目成功,475,DEESS便携式光子脱毛仪,DEESS脱毛仪,https://z.jd.com/funderCenter.action?flag=2&id=56303,已筹到,1062
901,家电,2016-06-29 00:00:00,213604,100000,项目成功,214,西屋智能数显空气净化器,西屋旗舰店,https://z.jd.com/funderCenter.action?flag=2&id=57450,已筹到,743
